Offense charged;Total;White;"Black or
African
American";"American
Indian or
Alaska
Native";Asian;"Native
Hawaiian
or Other
Pacific
Islander";;;;;;;;;;;;
TOTAL;8.421.481;5.858.330;2.263.112;171.185;103.244;25.610;;;;;;;;;;;;
Murder and nonnegligent manslaughter;9.374;4.192;4.935;108;109;30;;;;;;;;;;;;
Rape3;18.606;12.571;5.412;233;309;81;;;;;;;;;;;;
Robbery;76.267;33.095;41.562;663;659;288;;;;;;;;;;;;
Aggravated assault;304.626;191.205;101.432;6.374;4.678;937;;;;;;;;;;;;
Burglary;164.641;112.651;47.991;1.613;1.925;461;;;;;;;;;;;;
Larceny-theft;833.558;575.105;231.199;14.933;10.277;2.044;;;;;;;;;;;;
Motor vehicle theft;68.170;44.970;20.955;1.018;895;332;;;;;;;;;;;;
Arson;7.767;5.593;1.813;218;120;23;;;;;;;;;;;;
Violent crime4;408.873;241.063;153.341;7.378;5.755;1.336;;;;;;;;;;;;
Property crime4;1.074.136;738.319;301.958;17.782;13.217;2.860;;;;;;;;;;;;
Other assaults;853.493;556.871;267.764;15.505;10.511;2.842;;;;;;;;;;;;
Forgery and counterfeiting;44.831;29.375;14.308;290;752;106;;;;;;;;;;;;
Fraud;101.301;67.860;30.888;1.248;1.164;141;;;;;;;;;;;;
Embezzlement;12.592;7.732;4.512;104;209;35;;;;;;;;;;;;
"Stolen property; buying, receiving, possessing";74.492;47.818;24.851;876;812;135;;;;;;;;;;;;
Vandalism;154.958;105.933;43.499;3.370;1.768;388;;;;;;;;;;;;
"Weapons; carrying, possessing, etc.";124.150;69.414;51.898;1.135;1.401;302;;;;;;;;;;;;
Prostitution and commercialized vice;30.322;16.819;11.495;121;1.821;66;;;;;;;;;;;;
Sex offenses (except rape and prostitution);40.292;28.837;9.949;633;749;124;;;;;;;;;;;;
Drug abuse violations;1.242.630;881.885;332.131;12.746;13.593;2.275;;;;;;;;;;;;
Gambling;2.905;1.308;1.405;8;167;17;;;;;;;;;;;;
Offenses against the family and children;69.546;46.661;20.265;2.065;519;36;;;;;;;;;;;;
Driving under the influence;798.012;655.648;108.881;14.700;15.969;2.814;;;;;;;;;;;;
Liquor laws;183.514;145.328;26.545;8.413;2.792;436;;;;;;;;;;;;
Drunkenness;299.248;228.784;43.948;23.043;3.046;427;;;;;;;;;;;;
Disorderly conduct;291.951;184.903;94.004;10.121;2.320;603;;;;;;;;;;;;
Vagrancy;19.755;13.033;6.063;412;234;13;;;;;;;;;;;;
All other offenses (except traffic);2.567.092;1.775.423;704.293;50.666;26.136;10.574;;;;;;;;;;;;
Suspicion;440;154;135;143;5;3;;;;;;;;;;;;
Curfew and loitering law violations;26.948;15.162;10.979;426;304;77;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
